Transaction Description,Category,Alternate Description
BUS/MRT,Transport,
KOPITIAM,Food,
CHILLIPADI,Food,
WATSON'S,Groceries,
CLASSPASS,Fitness,
SUBWAY,Food,
TIONGBAHRUBAKERY,Food,
FAVEPAYFavePay-Mr.B,Food,Mr Bean
MILANSHOKUDO,Food,
McDonalds,Food,
HINOODLE,Food,
TORI-Q,Food,
LovelifeVenturesPte,Drinks,Boost
BETTERWORLD,Food,
SUKIYA,Food,
CHEERS,Food,
STUFF'D,Food,
LAZADA,Shopping,
FAIRPRICEFINEST,Groceries,
CharSiuLang,Food,
FAVEPAYFavePay-HanD,Food,
HelloRide,Transport,
MYKAMPUNG,Food,
LIHOTEA,Drinks,
SHOPEE,Shopping,
SPSUSTENANCE,Food,SustyFoods
UNITY,Health,
NTUCFP,Groceries,
DINTAIFUNG,Food,
THEORIGINALBOATNOOD,Food,
YAKUN,Food,
AJUMMAS,Food,
HONGKONGSTREETOLDC,Food,
DELIINTHEPARKPAY,Food,
CANOPY-GARDENDINING,Food,
AMAZONSG,Shopping,
KIMLY,Food,
MaMum,Food,
BREADTALK,Food,
PEPPERLUNCH,Food,
KFC,Food,
DECATHLON,Shopping,
MISTERDONUT,Food,
MOSBURGER,Food,
www.anywheel.sg,Transport,
THECOFFEEBEAN,Drinks,
MRCOCONUT,Drinks,
TamoyaUdon,Food,
STEAMGAMES,Shopping,
CCYCONVERSIONFEE,Shopping,
